partner,currency,stk_flow,sitc06,geo\time	2014 	2012 	2010 
EXT_EU,EU_OTH,EXP,TOTAL,AT	0.1 	0.1 	0.1 
EXT_EU,EU_OTH,EXP,TOTAL,BE	0.5 	0.7 	0.5 
EXT_EU,EU_OTH,EXP,TOTAL,BG	1.1 	0.6 	0.7 
EXT_EU,EU_OTH,EXP,TOTAL,CY	0.1 	0.7 	0.5 
EXT_EU,EU_OTH,EXP,TOTAL,CZ	3.1 	3.3 	4.1 
EXT_EU,EU_OTH,EXP,TOTAL,DE	0.1 	0.1 	0.1 
EXT_EU,EU_OTH,EXP,TOTAL,DK	16.4 	18.3 	19.2 
EXT_EU,EU_OTH,EXP,TOTAL,EA	0.2 	0.3 	0.4 
EXT_EU,EU_OTH,EXP,TOTAL,EE	3.7 	5.7 	5.7 
EXT_EU,EU_OTH,EXP,TOTAL,EL	0 	0 	0.1 
EXT_EU,EU_OTH,EXP,TOTAL,ES	0.1 	0.1 	0.1 
EXT_EU,EU_OTH,EXP,TOTAL,EU	10.2 	10.4 	10.6 
EXT_EU,EU_OTH,EXP,TOTAL,FI	0 	0 	0.2 
EXT_EU,EU_OTH,EXP,TOTAL,FR	0.3 	0.9 	0.2 
EXT_EU,EU_OTH,EXP,TOTAL,HR	11.4 	: 	: 
EXT_EU,EU_OTH,EXP,TOTAL,HU	10.3 	9.1 	1.8 
EXT_EU,EU_OTH,EXP,TOTAL,IE	0.4 	0.4 	0.3 
EXT_EU,EU_OTH,EXP,TOTAL,IT	0.2 	0.2 	0.1 
EXT_EU,EU_OTH,EXP,TOTAL,LT	9 	15.5 	18.9 
EXT_EU,EU_OTH,EXP,TOTAL,LU	0.1 	0.1 	0 
EXT_EU,EU_OTH,EXP,TOTAL,LV	0 	2.3 	3.3 
EXT_EU,EU_OTH,EXP,TOTAL,MT	7 	0 	0.6 
